ts_code,trade_date,close,turnover_rate,volume_ratio,pe,pb,ps,total_mv,circ_mv
300590.SZ,20200305,55.83,4.6238,0.92,72.3593,9.0147,18.9323,901598.67,619384.7196
300590.SZ,20200304,55.65,3.9396,0.71,72.126,8.9857,18.8713,898691.85,617387.778
300590.SZ,20200303,57.45,6.0268,0.99,74.4589,9.2763,19.4817,927760.05,637357.194
300590.SZ,20200302,57.97,5.5197,0.91,75.1328,9.3603,19.658,936157.53,643126.1364
300590.SZ,20200228,53.61,4.2868,0.72,69.482,8.6563,18.1795,865747.89,594755.7732
300590.SZ,20200227,58.0,5.2658,0.9,75.1717,9.3651,19.6682,936642.0,643458.96
300590.SZ,20200226,58.14,6.5726,1.21,75.3532,9.3877,19.7157,938902.86,645012.1368
300590.SZ,20200225,64.6,8.8411,1.83,83.7257,10.4308,21.9063,1043225.4,716680.152
300590.SZ,20200224,65.16,5.4268,1.13,84.4515,10.5212,22.0962,1052268.84,722892.8592
300590.SZ,20200221,59.24,3.6722,0.76,76.7788,9.5653,20.0887,956666.76,657215.6688
300590.SZ,20200220,60.2,4.8874,1.05,78.0231,10.4649,20.4142,972169.8,667866.024
300590.SZ,20200219,56.95,4.3626,0.95,73.8109,9.8999,19.3121,919685.55,631810.134
300590.SZ,20200218,59.69,5.8209,1.44,77.3621,10.3762,20.2413,963933.81,662208.0228
300590.SZ,20200217,56.2,5.2471,1.39,72.8388,9.7695,19.0578,907573.8,623489.544
300590.SZ,20200214,51.09,3.9827,1.02,66.2159,8.8812,17.325,825052.41,566798.5908
300590.SZ,20200213,49.85,3.8981,0.95,64.6088,8.6657,16.9045,805027.65,553041.882
300590.SZ,20200212,51.83,4.0865,0.91,67.175,9.0099,17.5759,837002.67,575008.2396
300590.SZ,20200211,50.55,3.0086,0.6,65.516,8.7874,17.1418,816331.95,560807.766
300590.SZ,20200210,51.81,3.8744,0.81,67.1491,9.0064,17.5691,836679.69,574786.3572
300590.SZ,20200207,52.14,4.6351,0.95,67.5768,9.0638,17.681,842008.86,578447.4168
300590.SZ,20200206,48.53,5.018,0.99,62.898,8.4362,16.4569,783710.97,538397.6436
300590.SZ,20200205,45.6,5.96,1.35,59.1005,7.9269,15.4633,736394.4,505891.872
300590.SZ,20200204,45.9,5.5423,1.34,59.4893,7.979,15.565,741239.1,509220.108
300590.SZ,20200203,42.34,2.7684,0.61,54.8754,7.3602,14.3578,683748.66,469725.0408
300590.SZ,20200123,47.04,5.1306,1.19,60.9669,8.1772,15.9516,759648.96,521867.4048
300590.SZ,20200122,50.02,6.0147,1.56,64.8291,8.6952,16.9621,807772.98,554927.8824
300590.SZ,20200121,45.47,2.5644,0.67,58.932,7.9043,15.4192,734295.03,504449.6364
300590.SZ,20200120,46.14,4.1708,1.1,59.8004,8.0208,15.6464,745114.86,511882.6968
300590.SZ,20200117,45.9,4.7577,1.4,59.4893,7.979,15.565,741239.1,509220.108
